prob,E,L2_Y,L2_DY,L_inf_Y,L_inf_DY,time,ODE evals,NumPoints,break
tol,1e-006
1,0.0010,6.357e-011,2.01e-009,2.211e-010,6.991e-009,0.2914,0,54,0
2,0.0100,6.631e-011,6.63e-009,3.022e-010,3.022e-008,0.4083,0,61,0
3,0.0500,6.143e-010,2.01e-008,1.029e-009,3.864e-008,0.1727,0,34,0
4,0.0250,2.898e-010,5.504e-009,6.024e-010,1.346e-008,0.3655,0,54,0
5,0.0100,5.39e-009,2.436e-007,1.465e-008,1.388e-006,0.1135,0,33,0
6,0.0220,9.083e-010,1.753e-008,2.313e-009,7.403e-008,0.3342,0,63,0
7,0.0250,7.042e-010,2.169e-008,1.639e-009,5.379e-008,0.1974,0,45,0
8,0.0100,6.51e-011,6.51e-009,3.022e-010,3.022e-008,0.3798,0,61,0
9,0.0550,1.417e-008,3.285e-008,3.001e-008,6.198e-008,0.6204,0,77,0
10,0.0220,5.68e-010,5.281e-009,1.493e-009,1.785e-008,0.3491,0,69,0
11,0.0010,9.47e-010,1.632e-007,1.461e-009,2.335e-007,0.111,0,33,0
12,0.0025,8.752e-010,4.29e-008,2.97e-009,9.505e-008,0.3047,0,56,0
13,0.0025,8.705e-010,4.26e-008,2.97e-009,9.505e-008,0.3096,0,56,0
14,0.0025,8.686e-010,2.663e-008,2.97e-009,7.545e-008,0.3814,0,79,0
15,0.0050,5.347e-009,4.69e-008,1.138e-008,1.112e-007,0.4904,0,113,0
16,0.0526,1.085e-008,3.959e-007,2.807e-008,8.842e-007,1.405,0,167,0
17,0.0005,4.528e-010,2.401e-008,8.251e-010,6.134e-008,0.3929,0,75,0
18,0.0130,1.074e-010,8.264e-009,2.856e-010,2.197e-008,0.3714,0,56,0
19,0.0300,5.467e-011,1.664e-009,1.303e-010,3.78e-009,0.546,0,53,0
20,0.0500,2.793e-011,1.02e-009,9.781e-011,5.014e-009,1.019,0,70,0
21,0.0008,1.174e-010,7.537e-009,3.478e-010,2.695e-008,0.3618,0,52,0
22,0.0250,1.485e-010,5.216e-009,3.3e-010,1.194e-008,0.3978,0,52,0
23,5.0000,7.193e-011,5.088e-009,1.615e-010,1.2e-008,0.5331,0,47,0
24,0.0300,4.967e-010,7.392e-009,1.213e-009,1.927e-008,0.8663,0,70,0
25,0.0025,1.062e-011,6.299e-010,3.045e-011,3.263e-009,0.6826,0,95,0
26,0.0200,5.831e-011,1.143e-009,9.318e-011,5.025e-009,0.6764,0,78,0
27,0.0200,6.678e-011,1.215e-009,9.516e-011,5.085e-009,0.6749,0,65,0
28,0.0300,4.014e-011,9.311e-010,8.712e-011,2.173e-009,0.851,0,71,0
29,0.0150,1.998e-011,4.95e-010,7.801e-011,1.473e-009,0.8649,0,97,0
30,0.0420,3.673e-008,1.047e-006,1.2e-007,4.598e-006,0.657,0,97,0
31,0.0250,1.641e-012,6.271e-011,6.057e-012,2.153e-010,0.4512,0,55,0
32,100.0000,6.352e-012,5.361e-010,1.295e-011,1.841e-009,0.6313,0,95,0

