prob,E,L2_Y,L2_DY,L_inf_Y,L_inf_DY,time,ODE evals,NumPoints,break
tol,0.001
1,0.0010,1.096e-006,3.465e-005,4.512e-006,0.0001427,0.08374,614,33,0
2,0.0100,1.092e-005,0.001092,5.193e-005,0.005192,0.1646,1141,27,0
3,0.0500,1.994e-007,1.697e-006,4.548e-007,6.856e-006,0.1125,901,33,0
4,0.0250,3.748e-006,0.0001537,1.663e-005,0.000682,0.1598,1137,27,0
5,0.0100,3.007e-009,8.213e-008,5.05e-009,1.298e-007,0.1262,830,33,0
6,0.0220,3.052e-006,4.218e-006,4.522e-006,1.082e-005,0.111,793,33,0
7,0.0250,2.197e-006,1.33e-005,4.4e-006,7.338e-005,0.08525,616,33,0
8,0.0100,1.092e-005,0.001092,5.193e-005,0.005193,0.172,1270,27,0
9,0.0550,1.791e-005,5.504e-005,6.317e-005,0.0001322,0.1126,896,33,0
10,0.0220,3.58e-006,4.958e-006,5.298e-006,1.291e-005,0.13,664,33,0
11,0.0010,1.718e-008,2.482e-007,8.866e-008,9.229e-007,0.0966,747,33,0
12,0.0025,2.964e-006,5.927e-005,1.44e-005,0.0002879,0.0991,747,33,0
13,0.0025,2.967e-006,5.925e-005,1.44e-005,0.0002877,0.09929,747,33,0
14,0.0025,3.613e-006,9.067e-005,1.44e-005,0.0003557,0.08624,618,33,0
15,0.0050,2.234e-005,0.0001763,4.962e-005,0.0003782,0.1064,792,33,0
16,0.0526,7.148e-005,0.002232,0.0001634,0.005449,0.2082,1242,34,0
17,0.0005,8.737e-008,7.885e-006,1.405e-007,4.297e-005,0.1344,911,33,0
18,0.0130,2.6e-006,0.0002,1.143e-005,0.0008789,0.1646,1156,28,0
19,0.0300,6.938e-006,0.0001525,2.425e-005,0.0006878,0.1848,1061,33,0
20,0.0500,7.299e-008,1.889e-006,2.78e-007,9.903e-006,0.7138,3997,68,0
21,0.0008,4.571e-006,0.0007115,2.431e-005,0.003677,0.1642,951,33,0
22,0.0250,1.889e-006,0.0001725,9.439e-006,0.0007846,0.1683,1018,33,0
23,5.0000,1.2e-006,0.000123,4.75e-006,0.0006776,0.2797,1680,32,0
24,0.0300,1.302e-007,3.516e-006,5.169e-007,1.478e-005,0.3812,2355,48,0
25,0.0025,7.517e-009,2.009e-007,2.239e-008,7.296e-007,0.6428,3873,81,0
26,0.0200,3.091e-006,0.0001123,1.06e-005,0.0004249,0.268,1665,31,0
27,0.0200,2.746e-006,9.986e-005,1.059e-005,0.0004239,0.2823,1821,39,0
28,0.0300,7.918e-008,1.948e-006,3.441e-007,1.102e-005,0.576,4083,88,0
29,0.0150,1.318e-007,3.782e-006,5.247e-007,1.597e-005,0.8128,5079,96,0
30,0.0420,3.239e-007,6.321e-006,1.172e-006,2.259e-005,0.5677,3540,72,0
31,0.0250,2.396e-009,1.152e-007,8.448e-009,4.054e-007,0.1608,1140,33,0
32,100.0000,4.806e-009,4.057e-007,8.853e-009,1.433e-006,0.4834,3602,64,0

